Index, UTC_time, BAR_temperature, BAR_pressure, GPS_fix_mode, GPS_latitude, GPS_longitude, GPS_speed, GPS_heading, GPS_alt, GPS_time, BAR_alt
1,1718527599.436893,28.8125,98936.25,3,50.0609748,14.4090993,0,258.2787,198.208,2024-06-16T10:46:39.000Z,200.77379805309107
2,1718527599.96435,28.8125,98936.25,3,50.0609747,14.4090993,0,258.2787,198.256,2024-06-16T10:46:40.000Z,200.77379805309107
3,1718527600.493264,28.8125,98936.5,3,50.0609747,14.4090993,0,258.2787,198.256,2024-06-16T10:46:40.000Z,200.7525812123302
4,1718527601.020004,28.8125,98936.5,3,50.0609736,14.4091006,0,258.2787,198.305,2024-06-16T10:46:41.000Z,200.7525812123302
5,1718527601.551065,28.75,98932.5,3,50.0609736,14.4091006,0,258.2787,198.305,2024-06-16T10:46:41.000Z,201.09205587404932
6,1718527602.077237,28.75,98932.5,3,50.0609737,14.409101,0,258.2787,198.197,2024-06-16T10:46:42.000Z,201.09205587404932
7,1718527602.603963,28.8125,98938.75,3,50.0609737,14.409101,0,258.2787,198.197,2024-06-16T10:46:42.000Z,200.56163159896565
8,1718527603.13121,28.8125,98938.75,3,50.0609743,14.4090998,0,258.2787,198.246,2024-06-16T10:46:43.000Z,200.56163159896565
9,1718527603.6572,28.8125,98934.75,3,50.0609748,14.4090975,0,258.2787,198.454,2024-06-16T10:46:44.000Z,200.90110000931838
10,1718527604.183146,28.8125,98934.75,3,50.0609748,14.4090975,0,258.2787,198.454,2024-06-16T10:46:44.000Z,200.90110000931838
11,1718527604.710017,28.8125,98932.25,3,50.0609745,14.4090972,0,258.2787,198.573,2024-06-16T10:46:45.000Z,201.11327340942506
12,1718527605.237375,28.8125,98932.25,3,50.0609745,14.4090972,0,258.2787,198.573,2024-06-16T10:46:45.000Z,201.11327340942506
13,1718527605.764277,28.8125,98936.0,3,50.0609744,14.4090965,0,258.2787,198.491,2024-06-16T10:46:46.000Z,200.7950149372663
14,1718527606.290083,28.8125,98936.0,3,50.0609744,14.4090965,0,258.2787,198.491,2024-06-16T10:46:46.000Z,200.7950149372663
15,1718527606.817242,28.8125,98934.0,3,50.0609738,14.4090979,0,258.2787,198.556,2024-06-16T10:46:47.000Z,200.96475157350608
16,1718527607.343958,28.8125,98934.0,3,50.0609738,14.4090979,0,258.2787,198.556,2024-06-16T10:46:47.000Z,200.96475157350608
17,1718527607.871007,28.8125,98936.0,3,50.0609729,14.4090997,0,258.2787,198.907,2024-06-16T10:46:48.000Z,200.7950149372663
18,1718527608.397459,28.8125,98936.0,3,50.0609729,14.4090997,0,258.2787,198.907,2024-06-16T10:46:48.000Z,200.7950149372663
19,1718527608.923417,28.8125,98934.5,3,50.0609732,14.4090982,0,258.2787,199.073,2024-06-16T10:46:49.000Z,200.92231715396989
20,1718527609.449431,28.8125,98934.5,3,50.0609732,14.4090982,0,258.2787,199.073,2024-06-16T10:46:49.000Z,200.92231715396989
21,1718527609.975209,28.8125,98934.25,3,50.060972,14.4090967,0,258.2787,199.093,2024-06-16T10:46:50.000Z,200.9435343420308
22,1718527610.502253,28.8125,98934.25,3,50.060972,14.4090967,0,258.2787,199.093,2024-06-16T10:46:50.000Z,200.9435343420308
23,1718527611.029035,28.875,98938.5,3,50.0609703,14.4090979,0,258.2787,199.326,2024-06-16T10:46:51.000Z,200.58284804903184
24,1718527611.556014,28.875,98936.25,3,50.0609703,14.4090979,0,258.2787,199.326,2024-06-16T10:46:51.000Z,200.77379805309107
25,1718527612.083412,28.875,98936.25,3,50.06097,14.4090984,0,258.2787,199.198,2024-06-16T10:46:52.000Z,200.77379805309107
26,1718527612.610143,28.875,98938.5,3,50.06097,14.4090984,0,258.2787,199.198,2024-06-16T10:46:52.000Z,200.58284804903184
27,1718527613.137424,28.875,98938.5,3,50.0609689,14.4090998,0,258.2787,199.085,2024-06-16T10:46:53.000Z,200.58284804903184
28,1718527613.664325,28.875,98938.75,3,50.0609687,14.4091002,0,258.2787,198.8,2024-06-16T10:46:54.000Z,200.56163159896565
29,1718527614.18999,28.875,98938.75,3,50.0609687,14.4091002,0,258.2787,198.8,2024-06-16T10:46:54.000Z,200.56163159896565
30,1718527614.717634,28.875,98938.25,3,50.0609681,14.4091011,0,258.2787,198.383,2024-06-16T10:46:55.000Z,200.60406454250742
31,1718527615.245181,28.875,98938.25,3,50.0609681,14.4091011,0,258.2787,198.383,2024-06-16T10:46:55.000Z,200.60406454250742
32,1718527615.772144,28.875,98936.25,3,50.0609679,14.4091006,0,258.2787,198.295,2024-06-16T10:46:56.000Z,200.77379805309107
33,1718527616.299006,28.875,98936.25,3,50.0609679,14.4091006,0,258.2787,198.295,2024-06-16T10:46:56.000Z,200.77379805309107
34,1718527616.826206,28.875,98934.0,3,50.0609678,14.4091004,0,258.2787,198.083,2024-06-16T10:46:57.000Z,200.96475157350608
35,1718527617.354135,28.875,98934.0,3,50.0609678,14.4091004,0,258.2787,198.083,2024-06-16T10:46:57.000Z,200.96475157350608
36,1718527617.883339,28.9375,98934.5,3,50.0609683,14.4091003,0,258.2787,198.019,2024-06-16T10:46:58.000Z,200.92231715396989
37,1718527618.410048,28.9375,98934.5,3,50.0609683,14.4091003,0,258.2787,198.019,2024-06-16T10:46:58.000Z,200.92231715396989
38,1718527618.937179,28.9375,98936.25,3,50.0609682,14.409101,0,258.2787,198.096,2024-06-16T10:46:59.000Z,200.77379805309107
39,1718527619.464237,28.9375,98936.25,3,50.0609682,14.409101,0,258.2787,198.096,2024-06-16T10:46:59.000Z,200.77379805309107
40,1718527619.991273,28.9375,98932.5,3,50.060968,14.4091011,0,258.2787,198.225,2024-06-16T10:47:00.000Z,201.09205587404932
41,1718527620.518329,28.9375,98932.5,3,50.060968,14.4091011,0,258.2787,198.225,2024-06-16T10:47:00.000Z,201.09205587404932
42,1718527621.04709,28.9375,98936.25,3,50.0609683,14.4091006,0,258.2787,198.136,2024-06-16T10:47:01.000Z,200.77379805309107
43,1718527621.574139,28.9375,98936.25,3,50.0609683,14.4091006,0,258.2787,198.136,2024-06-16T10:47:01.000Z,200.77379805309107
44,1718527622.103858,28.9375,98936.75,3,50.0609681,14.4091004,0,258.2787,198.131,2024-06-16T10:47:02.000Z,200.73136441497874
45,1718527622.63139,28.9375,98936.75,3,50.0609683,14.4090998,0,258.2787,198.028,2024-06-16T10:47:03.000Z,200.73136441497874
46,1718527623.1619,28.9375,98938.5,3,50.0609683,14.4090998,0,258.2787,198.028,2024-06-16T10:47:03.000Z,200.58284804903184
47,1718527623.688891,28.9375,98938.5,3,50.0609685,14.4090998,0,258.2787,198.135,2024-06-16T10:47:04.000Z,200.58284804903184
48,1718527624.215492,29.0,98938.25,3,50.0609685,14.4090998,0,258.2787,198.135,2024-06-16T10:47:04.000Z,200.60406454250742
49,1718527624.742002,29.0,98938.25,3,50.0609682,14.4090993,0,258.2787,198.191,2024-06-16T10:47:05.000Z,200.60406454250742
50,1718527625.270879,29.0,98936.25,3,50.0609682,14.4090993,0,258.2787,198.191,2024-06-16T10:47:05.000Z,200.77379805309107
